역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
153,성균관대역,k0201,경부선,Sungkyunkwan Univ.,成 均 館 大,일반역,,,37.300344,126.970861,한국철도공사,경기도 수원시 장안구 서부로 2149,1544-7788,2020-12-31
154,화서역,k0201,경부선,Hwaseo,華 西,일반역,,,37.28399,126.989581,한국철도공사,경기도 수원시 팔달구 덕영대로 692,1544-7788,2020-12-31
245,수원(분당)역,k0304,분당선,Suwon,水 原,환승역,k0304+k0201,경부/분당,37.266162,126.999821,한국철도공사,경기도 수원시 팔달구 덕영대로 924,1544-7788,2020-12-31
440,인덕원역,k0303,과천선,Indeogwon,仁德院,일반역,,,37.401901,126.976818,한국철도공사,경기도 안양시 동안구 흥안대로 529,1544-7788,2020-12-31
441,평촌역,k0303,과천선,Pyeongchon,坪 村,일반역,,,37.394346,126.963881,한국철도공사,경기도 안양시 동안구 부림로 지하 123,1544-7788,2020-12-31
442,범계역,k0303,과천선,Beomgye,凡溪,일반역,,,37.389783,126.950752,한국철도공사,경기도 안양시 동안구 동안로 지하 130,1544-7788,2020-12-31
444,산본역,k0302,안산선,Sanbon,山 本,일반역,,,37.358019,126.932969,한국철도공사,경기도 군포시 번영로 504,1544-7788,2020-12-31
445,수리산역,k0302,안산선,Surisan,修理山,일반역,,,37.350297,126.925537,한국철도공사,경기도 군포시 번영로 385,1544-7788,2020-12-31
446,대야미역,k0302,안산선,Daeyami,大夜味,일반역,,,37.328304,126.917161,한국철도공사,경기도 군포시 대야1로 28,1544-7788,2020-12-31
447,반월역,k0302,안산선,Banwol,半 月,일반역,,,37.312244,126.903684,한국철도공사,경기도 안산시 상록구 건건로 119-10,1544-7788,2020-12-31
448,상록수역,k0302,안산선,Sangnoksu,常綠樹,일반역,,,37.302845,126.866533,한국철도공사,경기도 안산시 상록구 상록수로 61,1544-7788,2020-12-31
450,중앙역,k0302,안산선,Jungang,中 央,일반역,,,37.316055,126.838532,한국철도공사,경기도 안산시 단원구 중앙대로 918,1544-7788,2020-12-31
449,한대앞역,k0302,안산선,Hangyang Univ. at Ansan,漢大앞,일반역,,,37.309685,126.853656,한국철도공사,경기도 안산시 상록구 충장로 337,1544-7788,2020-12-31
451,고잔역,k0302,안산선,Gojan,古 棧,일반역,,,37.316821,126.823094,한국철도공사,경기도 안산시 단원구 중앙대로 784,1544-7788,2020-12-31
